AGNO,RBD,DGV_RBD,NOM_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPE,RURAL_RBD,ESTADO_ESTAB,N_ASIS,N_HOMBRES,N_MUJERES,N_PROF,N_PARA,N_AUX,N_ADMIN,N_TEC,N_SIN_DATO,JORN_PROF,JORN_PARA,JORN_AUX,JORN_ADMIN,JORN_TEC,JORN_SIN_DATO,TOT_JORN
2021,6348,7,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,9118,TOLTÉN,6,0,1,27,10,17,4,18,5,0,0,0,176,718,220,0,0,0,1114
2021,6349,5,ESCUELA AGUAS Y GAVIOTAS,9118,TOLTÉN,6,0,1,39,11,28,9,22,8,0,0,0,310,888,352,0,0,0,1550
2021,6350,9,ESCUELA RAYEN LAFQUEN QUEULE,9118,TOLTÉN,6,0,1,20,6,14,5,11,4,0,0,0,212,464,176,0,0,0,852
2021,6351,7,ESCUELA EL SEMBRADOR,9118,TOLTÉN,6,1,1,22,9,13,5,0,5,8,4,0,214,0,220,352,176,0,962
2021,6352,5,ESCUELA AMANECER DE VILLA LOS BOLDOS,9118,TOLTÉN,6,0,1,16,5,11,2,12,2,0,0,0,88,518,88,0,0,0,694
2021,6353,3,ESCUELA SAN PEDRO,9118,TOLTÉN,6,1,1,2,0,2,1,1,0,0,0,0,8,32,0,0,0,0,40
2021,6354,1,ESCUELA LA CASCADA,9118,TOLTÉN,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,6356,8,ESCUELA FILULAFQUEN,9117,TEODORO SCHMIDT,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,6358,4,ESCUELA BASICA ESTACION TOLTEN,9117,TEODORO SCHMIDT,6,1,1,1,1,0,0,0,1,0,0,0,0,0,44,0,0,0,44
2021,6361,4,ESCUELA DE CAYCHAYEN,9117,TEODORO SCHMIDT,6,1,1,1,1,0,0,0,1,0,0,0,0,0,22,0,0,0,22
2021,6363,0,ESCUELA PUCHILCO,9118,TOLTÉN,6,1,1,1,1,0,0,1,0,0,0,0,0,4,0,0,0,0,4
2021,6370,3,ESCUELA LA CONCEPCION,9118,TOLTÉN,6,1,1,1,1,0,0,0,1,0,0,0,0,0,22,0,0,0,22
2021,6371,1,ESCUELA ANTU-LAFQUEN,9118,TOLTÉN,6,1,1,3,1,2,1,1,1,0,0,0,6,4,22,0,0,0,32
2021,6373,8,ESCUELA PORMA,9117,TEODORO SCHMIDT,6,1,1,3,2,1,0,0,2,1,0,0,0,0,66,44,0,0,110
2021,6374,6,ESCUELA BASICA RURAL FLOR DEL VALLE,9118,TOLTÉN,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,6377,0,ESCUELA DE CAMAGUEY,9118,TOLTÉN,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,6378,9,ESCUELA BOROA NORTE,9118,TOLTÉN,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,6397,5,LICEO MUNICIPAL BARROS ARANA,9117,TEODORO SCHMIDT,6,0,1,19,6,13,6,10,3,0,0,0,250,440,132,0,0,0,822
2021,6398,3,COMPLEJO EDUCACIONAL NUEVA ALBORADA,9117,TEODORO SCHMIDT,6,0,1,38,13,25,3,22,13,0,0,0,104,968,536,0,0,0,1608
2021,6399,1,ESCUELA HORIZONTES,9117,TEODORO SCHMIDT,6,0,1,19,6,13,3,0,3,6,7,0,118,0,132,264,308,0,822
2021,6400,9,ESCUELA ISLA LLICAN,9117,TEODORO SCHMIDT,6,1,1,1,1,0,0,0,1,0,0,0,0,0,22,0,0,0,22
2021,6403,3,ESCUELA DE NEICUF,9117,TEODORO SCHMIDT,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,6404,1,ESCUELA MOLONHUE,9117,TEODORO SCHMIDT,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,6407,6,ESCUELA NOHUALHUE,9117,TEODORO SCHMIDT,6,1,1,2,2,0,0,0,2,0,0,0,0,0,66,0,0,0,66
2021,6410,6,ESCUELA MALALHUE,9117,TEODORO SCHMIDT,6,1,1,1,1,0,0,0,1,0,0,0,0,0,22,0,0,0,22
2021,6411,4,ESCUELA PUYEHUE,9117,TEODORO SCHMIDT,6,1,1,2,2,0,0,1,1,0,0,0,0,44,22,0,0,0,66
2021,6413,0,ESCUELA DE RUCA-CURA,9117,TEODORO SCHMIDT,6,1,1,1,1,0,0,0,1,0,0,0,0,0,22,0,0,0,22
2021,6415,7,ESCUELA LOS TRONCOS,9117,TEODORO SCHMIDT,6,1,1,2,1,1,0,0,2,0,0,0,0,0,66,0,0,0,66
2021,6452,1,LICEO REINO DE SUECIA,9116,SAAVEDRA,6,0,1,33,15,18,3,18,12,0,0,0,116,774,528,0,0,0,1418
2021,6454,8,ESCUELA BASICA COLLICO RANCO,9116,SAAVEDRA,6,1,1,6,3,3,2,2,2,0,0,0,28,52,68,0,0,0,148
2021,6455,6,ESCUELA BASICA BARTOLO LLANCALEO,9116,SAAVEDRA,6,1,1,6,1,5,2,2,2,0,0,0,32,76,44,0,0,0,152
2021,6456,4,ESCCUELA BASICA INALAFQUEN,9116,SAAVEDRA,6,1,1,4,3,1,2,1,1,0,0,0,24,38,44,0,0,0,106
2021,6457,2,ESC. BASICA AUGUSTO WINTER TAPIA,9116,SAAVEDRA,6,0,1,26,10,16,4,0,10,6,6,0,169,0,422,226,234,0,1051
2021,6458,0,ESCUELA BASICA CALOF,9116,SAAVEDRA,6,1,1,5,3,2,2,2,1,0,0,0,24,52,44,0,0,0,120
