RBD,ESTABLECIMIENTO,NIVEL,SECTOR,INS,INT,SAT
6500,COMPLEJO EDUCACIONAL DARÍO SALAS,II. Medio,Lectura,8.22,65.75,26.03
6587,ESCUELA ALEJANDRO GOROSTIAGA,3.° Básico,Lectura,8.11,24.32,67.57
6458,ESCUELA BASICA CALOF,4.° Básico,Lectura,75.00,25.00,0.00
6397,LICEO MUNICIPAL BARROS ARANA,7.° Básico,Lectura,7.14,92.86,0.00
6499,ROMILIO ADRIAZOLA,7.° Básico,Lectura,7.14,67.86,25.00
6528,ESCUELA BASICA BAJO YUPEHUE,5.° Básico,Lectura,66.67,33.33,0.00
6587,ESCUELA ALEJANDRO GOROSTIAGA,4.° Básico,Lectura,63.16,31.58,5.26
6459,ESC. BASICA ANTONIO LADINO,3.° Básico,Lectura,60.00,20.00,20.00
6500,COMPLEJO EDUCACIONAL DARÍO SALAS,7.° Básico,Lectura,6.78,77.97,15.25
6452,LICEO REINO DE SUECIA,8.° Básico,Lectura,6.25,87.50,6.25
6585,LICEO BICENTENARIO LUIS GONZALEZ VASQUEZ 6585-4,I. Medio,Lectura,51.56,48.44,0.00
6374,ESCUELA BASICA RURAL FLOR DEL VALLE,6.° Básico,Lectura,50.00,50.00,0.00
6458,ESCUELA BASICA CALOF,7.° Básico,Lectura,50.00,50.00,0.00
6459,ESC. BASICA ANTONIO LADINO,2.° Básico,Lectura,50.00,50.00,0.00
6459,ESC. BASICA ANTONIO LADINO,4.° Básico,Lectura,50.00,50.00,0.00
6397,LICEO MUNICIPAL BARROS ARANA,I. Medio,Lectura,45.45,54.55,0.00
6459,ESC. BASICA ANTONIO LADINO,6.° Básico,Lectura,45.45,54.55,0.00
6588,ESCUELA REPUBLICA,7.° Básico,Lectura,44.44,50.00,5.56
6585,LICEO BICENTENARIO LUIS GONZALEZ VASQUEZ 6585-4,8.° Básico,Lectura,42.86,57.14,0.00
20248,LICEO MUNICIPAL TROVOLHUE,8.° Básico,Lectura,42.86,42.86,14.29
6528,ESCUELA BASICA BAJO YUPEHUE,6.° Básico,Lectura,40.00,60.00,0.00
6349,ESCUELA AGUAS Y GAVIOTAS,7.° Básico,Lectura,4.88,65.85,29.27
6452,LICEO REINO DE SUECIA,7.° Básico,Lectura,4.35,69.57,26.09
6500,COMPLEJO EDUCACIONAL DARÍO SALAS,5.° Básico,Lectura,4.35,82.61,13.04
20053,LICEO TECNICO PROFESIONAL HUALPIN,II. Medio,Lectura,38.46,53.85,7.69
6455,ESCUELA BASICA BARTOLO LLANCALEO,4.° Básico,Lectura,37.50,50.00,12.50
6459,ESC. BASICA ANTONIO LADINO,8.° Básico,Lectura,37.50,62.50,0.00
6588,ESCUELA REPUBLICA,6.° Básico,Lectura,36.84,47.37,15.79
20053,LICEO TECNICO PROFESIONAL HUALPIN,I. Medio,Lectura,36.36,63.64,0.00
6500,COMPLEJO EDUCACIONAL DARÍO SALAS,I. Medio,Lectura,36.05,59.30,4.65
6587,ESCUELA ALEJANDRO GOROSTIAGA,7.° Básico,Lectura,34.92,61.90,3.17
6351,ESCUELA EL SEMBRADOR,3.° Básico,Lectura,33.33,66.67,0.00
6373,ESCUELA PORMA,5.° Básico,Lectura,33.33,33.33,33.33
6528,ESCUELA BASICA BAJO YUPEHUE,4.° Básico,Lectura,33.33,66.67,0.00
6528,ESCUELA BASICA BAJO YUPEHUE,8.° Básico,Lectura,33.33,66.67,0.00
6589,ESCUELA JUAN XXIII,2.° Básico,Lectura,33.33,66.67,0.00
6501,ESCUELA BASICA KIM RUKA,7.° Básico,Lectura,30.51,62.71,6.78
6588,ESCUELA REPUBLICA,8.° Básico,Lectura,30.43,56.52,13.04
6452,LICEO REINO DE SUECIA,I. Medio,Lectura,30.19,67.92,1.89
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,4.° Básico,Lectura,30.00,30.00,40.00
6499,ROMILIO ADRIAZOLA,4.° Básico,Lectura,30.00,56.67,13.33
6589,ESCUELA JUAN XXIII,5.° Básico,Lectura,3.85,73.08,23.08
6399,ESCUELA HORIZONTES,8.° Básico,Lectura,3.70,81.48,14.81
6349,ESCUELA AGUAS Y GAVIOTAS,8.° Básico,Lectura,3.13,68.75,28.13
6457,ESC. BASICA AUGUSTO WINTER TAPIA,6.° Básico,Lectura,29.17,70.83,0.00
6399,ESCUELA HORIZONTES,4.° Básico,Lectura,28.57,28.57,42.86
6457,ESC. BASICA AUGUSTO WINTER TAPIA,5.° Básico,Lectura,28.57,64.29,7.14
6589,ESCUELA JUAN XXIII,7.° Básico,Lectura,28.57,53.57,17.86
6585,LICEO BICENTENARIO LUIS GONZALEZ VASQUEZ 6585-4,II. Medio,Lectura,28.13,62.50,9.38
6397,LICEO MUNICIPAL BARROS ARANA,6.° Básico,Lectura,27.78,72.22,0.00
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,3.° Básico,Lectura,27.27,45.45,27.27
6587,ESCUELA ALEJANDRO GOROSTIAGA,5.° Básico,Lectura,27.27,72.73,0.00
6457,ESC. BASICA AUGUSTO WINTER TAPIA,8.° Básico,Lectura,26.92,65.38,7.69
6502,ESCUELA BASICA NEHUENTUE,4.° Básico,Lectura,26.67,53.33,20.00
20248,LICEO MUNICIPAL TROVOLHUE,II. Medio,Lectura,25.71,60.00,14.29
6459,ESC. BASICA ANTONIO LADINO,5.° Básico,Lectura,25.00,62.50,12.50
6497,COMPLEJO EDUCACIONAL CLAUDIO ARRAU LEON,I. Medio,Lectura,25.00,50.00,25.00
6593,ESCUELA BASICA EL CRUCERO,6.° Básico,Lectura,25.00,75.00,0.00
6587,ESCUELA ALEJANDRO GOROSTIAGA,2.° Básico,Lectura,24.00,56.00,20.00
6351,ESCUELA EL SEMBRADOR,7.° Básico,Lectura,23.08,61.54,15.38
6397,LICEO MUNICIPAL BARROS ARANA,5.° Básico,Lectura,23.08,76.92,0.00
6399,ESCUELA HORIZONTES,7.° Básico,Lectura,23.08,57.69,19.23
6587,ESCUELA ALEJANDRO GOROSTIAGA,6.° Básico,Lectura,22.73,77.27,0.00
6349,ESCUELA AGUAS Y GAVIOTAS,6.° Básico,Lectura,22.22,69.44,8.33
20248,LICEO MUNICIPAL TROVOLHUE,I. Medio,Lectura,21.74,73.91,4.35
6351,ESCUELA EL SEMBRADOR,4.° Básico,Lectura,20.00,33.33,46.67
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,5.° Básico,Lectura,20.00,80.00,0.00
6399,ESCUELA HORIZONTES,6.° Básico,Lectura,20.00,75.00,5.00
6452,LICEO REINO DE SUECIA,5.° Básico,Lectura,20.00,70.00,10.00
6455,ESCUELA BASICA BARTOLO LLANCALEO,3.° Básico,Lectura,20.00,60.00,20.00
6501,ESCUELA BASICA KIM RUKA,8.° Básico,Lectura,20.00,71.43,8.57
6501,ESCUELA BASICA KIM RUKA,6.° Básico,Lectura,20.00,76.00,4.00
6502,ESCUELA BASICA NEHUENTUE,7.° Básico,Lectura,20.00,65.00,15.00
6588,ESCUELA REPUBLICA,4.° Básico,Lectura,20.00,60.00,20.00
6497,COMPLEJO EDUCACIONAL CLAUDIO ARRAU LEON,II. Medio,Lectura,2.86,74.29,22.86
6587,ESCUELA ALEJANDRO GOROSTIAGA,8.° Básico,Lectura,19.12,77.94,2.94
20248,LICEO MUNICIPAL TROVOLHUE,7.° Básico,Lectura,18.18,81.82,0.00
6351,ESCUELA EL SEMBRADOR,5.° Básico,Lectura,16.67,75.00,8.33
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,6.° Básico,Lectura,16.67,83.33,0.00
6349,ESCUELA AGUAS Y GAVIOTAS,5.° Básico,Lectura,16.00,76.00,8.00
6502,ESCUELA BASICA NEHUENTUE,8.° Básico,Lectura,15.79,73.68,10.53
6397,LICEO MUNICIPAL BARROS ARANA,8.° Básico,Lectura,15.38,76.92,7.69
6589,ESCUELA JUAN XXIII,6.° Básico,Lectura,15.38,76.92,7.69
6588,ESCUELA REPUBLICA,5.° Básico,Lectura,15.00,30.00,55.00
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,8.° Básico,Lectura,14.29,42.86,42.86
6397,LICEO MUNICIPAL BARROS ARANA,3.° Básico,Lectura,14.29,57.14,28.57
6459,ESC. BASICA ANTONIO LADINO,7.° Básico,Lectura,14.29,57.14,28.57
6399,ESCUELA HORIZONTES,5.° Básico,Lectura,13.04,47.83,39.13
6504,ESCUELA TRANAPUENTE,3.° Básico,Lectura,12.50,37.50,50.00
6528,ESCUELA BASICA BAJO YUPEHUE,7.° Básico,Lectura,12.50,87.50,0.00
6452,LICEO REINO DE SUECIA,II. Medio,Lectura,12.12,72.73,15.15
6351,ESCUELA EL SEMBRADOR,2.° Básico,Lectura,11.11,33.33,55.56
6351,ESCUELA EL SEMBRADOR,6.° Básico,Lectura,11.11,88.89,0.00
6452,LICEO REINO DE SUECIA,6.° Básico,Lectura,11.11,83.33,5.56
6501,ESCUELA BASICA KIM RUKA,5.° Básico,Lectura,11.11,63.49,25.40
6504,ESCUELA TRANAPUENTE,4.° Básico,Lectura,100.00,0.00,0.00
6504,ESCUELA TRANAPUENTE,8.° Básico,Lectura,100.00,0.00,0.00
6397,LICEO MUNICIPAL BARROS ARANA,II. Medio,Lectura,10.00,90.00,0.00
6350,ESCUELA RAYEN LAFQUEN QUEULE,6.° Básico,Lectura,0.00,100.00,0.00
6350,ESCUELA RAYEN LAFQUEN QUEULE,8.° Básico,Lectura,0.00,18.75,81.25
6350,ESCUELA RAYEN LAFQUEN QUEULE,5.° Básico,Lectura,0.00,21.05,78.95
6350,ESCUELA RAYEN LAFQUEN QUEULE,7.° Básico,Lectura,0.00,40.91,59.09
6351,ESCUELA EL SEMBRADOR,8.° Básico,Lectura,0.00,100.00,0.00
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,2.° Básico,Lectura,0.00,70.00,30.00
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,7.° Básico,Lectura,0.00,92.86,7.14
6361,ESCUELA DE CAYCHAYEN,2.° Básico,Lectura,0.00,100.00,0.00
6361,ESCUELA DE CAYCHAYEN,5.° Básico,Lectura,0.00,100.00,0.00
6370,ESCUELA LA CONCEPCION,2.° Básico,Lectura,0.00,0.00,100.00
