RBD,ESTABLECIMIENTO,NIVEL,SECTOR,EJE,P_RESCORR
6349,ESCUELA AGUAS Y GAVIOTAS,6.° Básico,Lenguaje,Interpretar y Relacionar,45
6349,ESCUELA AGUAS Y GAVIOTAS,8.° Básico,Lenguaje,Reflexionar,49
6349,ESCUELA AGUAS Y GAVIOTAS,5.° Básico,Lenguaje,Reflexionar,50
6349,ESCUELA AGUAS Y GAVIOTAS,6.° Básico,Lenguaje,Reflexionar,50
6349,ESCUELA AGUAS Y GAVIOTAS,5.° Básico,Lenguaje,Interpretar y Relacionar,56
6349,ESCUELA AGUAS Y GAVIOTAS,5.° Básico,Lenguaje,Localizar,56
6349,ESCUELA AGUAS Y GAVIOTAS,6.° Básico,Lenguaje,Localizar,56
6349,ESCUELA AGUAS Y GAVIOTAS,7.° Básico,Lenguaje,Reflexionar,56
6349,ESCUELA AGUAS Y GAVIOTAS,8.° Básico,Lenguaje,Interpretar y Relacionar,64
6349,ESCUELA AGUAS Y GAVIOTAS,7.° Básico,Lenguaje,Interpretar y Relacionar,67
6349,ESCUELA AGUAS Y GAVIOTAS,7.° Básico,Lenguaje,Localizar,77
6349,ESCUELA AGUAS Y GAVIOTAS,8.° Básico,Lenguaje,Localizar,78
6350,ESCUELA RAYEN LAFQUEN QUEULE,6.° Básico,Lenguaje,Reflexionar,42
6350,ESCUELA RAYEN LAFQUEN QUEULE,6.° Básico,Lenguaje,Interpretar y Relacionar,67
6350,ESCUELA RAYEN LAFQUEN QUEULE,6.° Básico,Lenguaje,Localizar,70
6350,ESCUELA RAYEN LAFQUEN QUEULE,7.° Básico,Lenguaje,Localizar,73
6350,ESCUELA RAYEN LAFQUEN QUEULE,5.° Básico,Lenguaje,Reflexionar,78
6350,ESCUELA RAYEN LAFQUEN QUEULE,8.° Básico,Lenguaje,Reflexionar,79
6350,ESCUELA RAYEN LAFQUEN QUEULE,7.° Básico,Lenguaje,Interpretar y Relacionar,81
6350,ESCUELA RAYEN LAFQUEN QUEULE,8.° Básico,Lenguaje,Interpretar y Relacionar,82
6350,ESCUELA RAYEN LAFQUEN QUEULE,7.° Básico,Lenguaje,Reflexionar,89
6350,ESCUELA RAYEN LAFQUEN QUEULE,5.° Básico,Lenguaje,Interpretar y Relacionar,91
6350,ESCUELA RAYEN LAFQUEN QUEULE,8.° Básico,Lenguaje,Localizar,95
6350,ESCUELA RAYEN LAFQUEN QUEULE,5.° Básico,Lenguaje,Localizar,96
6351,ESCUELA EL SEMBRADOR,3.° Básico,Lenguaje,Reflexionar,17
6351,ESCUELA EL SEMBRADOR,7.° Básico,Lenguaje,Reflexionar,40
6351,ESCUELA EL SEMBRADOR,8.° Básico,Lenguaje,Reflexionar,42
6351,ESCUELA EL SEMBRADOR,6.° Básico,Lenguaje,Reflexionar,47
6351,ESCUELA EL SEMBRADOR,3.° Básico,Lenguaje,Interpretar y Relacionar,50
6351,ESCUELA EL SEMBRADOR,5.° Básico,Lenguaje,Reflexionar,50
6351,ESCUELA EL SEMBRADOR,6.° Básico,Lenguaje,Interpretar y Relacionar,50
6351,ESCUELA EL SEMBRADOR,7.° Básico,Lenguaje,Interpretar y Relacionar,55
6351,ESCUELA EL SEMBRADOR,5.° Básico,Lenguaje,Localizar,58
6351,ESCUELA EL SEMBRADOR,7.° Básico,Lenguaje,Localizar,58
6351,ESCUELA EL SEMBRADOR,3.° Básico,Lenguaje,Localizar,60
6351,ESCUELA EL SEMBRADOR,6.° Básico,Lenguaje,Localizar,60
6351,ESCUELA EL SEMBRADOR,4.° Básico,Lenguaje,Reflexionar,61
6351,ESCUELA EL SEMBRADOR,5.° Básico,Lenguaje,Interpretar y Relacionar,64
6351,ESCUELA EL SEMBRADOR,4.° Básico,Lenguaje,Localizar,67
6351,ESCUELA EL SEMBRADOR,8.° Básico,Lenguaje,Interpretar y Relacionar,67
6351,ESCUELA EL SEMBRADOR,2.° Básico,Lenguaje,Interpretar y Relacionar,72
6351,ESCUELA EL SEMBRADOR,4.° Básico,Lenguaje,Interpretar y Relacionar,73
6351,ESCUELA EL SEMBRADOR,8.° Básico,Lenguaje,Localizar,81
6351,ESCUELA EL SEMBRADOR,2.° Básico,Lenguaje,Localizar,85
6351,ESCUELA EL SEMBRADOR,2.° Básico,Lenguaje,Reflexionar,92
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,6.° Básico,Lenguaje,Interpretar y Relacionar,42
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,7.° Básico,Lenguaje,Reflexionar,49
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,8.° Básico,Lenguaje,Interpretar y Relacionar,55
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,5.° Básico,Lenguaje,Localizar,57
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,6.° Básico,Lenguaje,Localizar,57
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,8.° Básico,Lenguaje,Reflexionar,58
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,5.° Básico,Lenguaje,Interpretar y Relacionar,61
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,4.° Básico,Lenguaje,Localizar,62
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,5.° Básico,Lenguaje,Reflexionar,63
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,6.° Básico,Lenguaje,Reflexionar,63
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,2.° Básico,Lenguaje,Interpretar y Relacionar,64
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,4.° Básico,Lenguaje,Interpretar y Relacionar,64
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,3.° Básico,Lenguaje,Interpretar y Relacionar,65
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,7.° Básico,Lenguaje,Interpretar y Relacionar,70
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,3.° Básico,Lenguaje,Localizar,71
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,8.° Básico,Lenguaje,Localizar,71
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,2.° Básico,Lenguaje,Localizar,72
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,2.° Básico,Lenguaje,Reflexionar,75
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,7.° Básico,Lenguaje,Localizar,79
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,3.° Básico,Lenguaje,Reflexionar,84
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,4.° Básico,Lenguaje,Reflexionar,87
6361,ESCUELA DE CAYCHAYEN,2.° Básico,Lenguaje,Reflexionar,50
6361,ESCUELA DE CAYCHAYEN,5.° Básico,Lenguaje,Localizar,67
6361,ESCUELA DE CAYCHAYEN,5.° Básico,Lenguaje,Reflexionar,67
6361,ESCUELA DE CAYCHAYEN,2.° Básico,Lenguaje,Interpretar y Relacionar,77
6361,ESCUELA DE CAYCHAYEN,5.° Básico,Lenguaje,Interpretar y Relacionar,78
6361,ESCUELA DE CAYCHAYEN,2.° Básico,Lenguaje,Localizar,83
6370,ESCUELA LA CONCEPCION,5.° Básico,Lenguaje,Reflexionar,0
