RBD,ESTABLECIMIENTO,COMUNA,AREA,RED,MATRICULA,ASIST,PO,MAPUCHE,F,M
6348,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,TOLTÉN,URBANO,MEJORA,373,"0,8612",168,166,180,197
6349,ESCUELA AGUAS Y GAVIOTAS,TOLTÉN,URBANO,MEJORA,291,"0,8875",76,76,142,149
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,URBANO,MEJORA,180,"0,9337",75,75,96,91
6351,ESCUELA EL SEMBRADOR,TOLTÉN,RURAL,MEJORA,145,"0,9368",102,102,70,79
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,URBANO,MEJORA,102,"0,8831",18,18,47,58
6353,ESCUELA SAN PEDRO,TOLTÉN,RURAL,MICROCENTRO,8,1,4,4,5,3
6354,ESCUELA LA CASCADA,TOLTÉN,RURAL,MICROCENTRO,1,1,1,1,,1
6358,ESCUELA BASICA ESTACION TOLTEN,TEODORO SCHMIDT,RURAL,MICROCENTRO,10,"0,9313",8,8,3,7
6361,ESCUELA DE CAYCHAYEN,TEODORO SCHMIDT,RURAL,MICROCENTRO,5,"0,7237",2,2,1,4
6363,ESCUELA PUCHILCO,TOLTÉN,RURAL,MICROCENTRO,2,1,0,,1,1
6370,ESCUELA LA CONCEPCION,TOLTÉN,RURAL,MICROCENTRO,2,1,0,,1,1
6371,ESCUELA ANTU-LAFQUEN,TOLTÉN,RURAL,MICROCENTRO,17,"0,7332",15,15,5,13
6373,ESCUELA PORMA,TEODORO SCHMIDT,RURAL,MICROCENTRO,27,"0,8741",26,26,16,11
6374,ESCUELA BASICA RURAL FLOR DEL VALLE,TOLTÉN,RURAL,MICROCENTRO,2,1,1,1,2,2
6377,ESCUELA DE CAMAGUEY,TOLTÉN,RURAL,MICROCENTRO,6,1,0,0,,0
6397,LICEO MUNICIPAL BARROS ARANA,TEODORO SCHMIDT,URBANO,MEJORA,262,"0,8581",121,121,133,131
6398,ESCUELA NUEVA ALBORADA,TEODORO SCHMIDT,URBANO,MEJORA,470,"0,9703",114,113,239,239
6399,ESCUELA HORIZONTES,TEODORO SCHMIDT,URBANO,MEJORA,212,"0,8949",91,91,102,116
6400,ESCUELA ISLA LLICAN,TEODORO SCHMIDT,RURAL,MICROCENTRO,11,"0,8079",9,9,5,6
6407,ESCUELA NOHUALHUE,TEODORO SCHMIDT,RURAL,MICROCENTRO,4,1,4,4,3,1
6410,ESCUELA MALALHUE,TEODORO SCHMIDT,RURAL,MICROCENTRO,7,1,12,12,4,10
6411,ESCUELA PUYEHUE,TEODORO SCHMIDT,RURAL,MICROCENTRO,14,"0,9447",0,0,0,0
6413,ESCUELA DE RUCA-CURA,TEODORO SCHMIDT,RURAL,MICROCENTRO,6,"0,9579",3,3,1,5
6415,ESCUELA LOS TRONCOS,TEODORO SCHMIDT,RURAL,MICROCENTRO,11,"0,929",2,2,2,9
6452,LICEO REINO DE SUECIA,SAAVEDRA,URBANO,MEJORA,489,"0,8515",332,332,258,248
6454,ESCUELA BASICA COLLICO RANCO,SAAVEDRA,RURAL,MEJORA,55,"0,7878",49,49,34,23
6455,ESCUELA BASICA BARTOLO LLANCALEO,SAAVEDRA,RURAL,MEJORA,65,"0,8535",45,45,34,31
6456,ESCCUELA BASICA INALAFQUEN,SAAVEDRA,RURAL,MEJORA,36,"0,8958",23,23,18,17
6457,ESC. BASICA AUGUSTO WINTER TAPIA,SAAVEDRA,URBANO,MEJORA,222,"0,805",142,142,112,113
6458,ESCUELA BASICA CALOF,SAAVEDRA,RURAL,MEJORA,50,"0,9246",32,32,25,27
6459,ESC. BASICA ANTONIO LADINO,SAAVEDRA,RURAL,MEJORA,76,"0,9363",47,47,37,39
6495,ESCUELA RUCA RAQUI,SAAVEDRA,RURAL,MEJORA,58,"0,9187",48,48,29,29
6497,COMPLEJO EDUCACIONAL CLAUDIO ARRAU LEON,CARAHUE,URBANO,MEJORA,835,"0,7722",435,435,409,460
6499,ROMILIO ADRIAZOLA,CARAHUE,URBANO,MEJORA,272,"0,8115",86,85,143,139
6500,ESCUELA DARIO SALAS DIAZ,CARAHUE,URBANO,MEJORA,1216,"0,8548",484,484,609,618
6501,ESCUELA BASICA KIM RUKA,CARAHUE,URBANO,MEJORA,633,"0,8743",205,205,330,315
6502,ESCUELA BASICA NEHUENTUE,CARAHUE,URBANO,MEJORA,133,"0,8504",38,37,64,68
6504,ESCUELA TRANAPUENTE,CARAHUE,RURAL,MEJORA,153,"0,4769",83,83,82,75
6506,ESCUELA MUNICIPAL DINAMARCA,CARAHUE,RURAL,MICROCENTRO,4,"0,9825",0,,1,3
6508,ESCUELA BASICA DINAMARCA. LUCERO,CARAHUE,RURAL,MICROCENTRO,5,"0,7953",0,0,0,0
6510,ESCUELA BASICA PAILACOYAN,CARAHUE,RURAL,MICROCENTRO,5,1,5,5,3,2
6512,ESCUELA VILLA LAS ARAUCARIAS,CARAHUE,RURAL,MICROCENTRO,3,"0,7368",0,,1,3
6515,ESCUELA CATRIPULLI,CARAHUE,RURAL,MICROCENTRO,3,"0,9211",0,,3,
6518,ESCUELA BASICA EL MANZANO,CARAHUE,RURAL,MICROCENTRO,5,"0,4386",6,6,6,2
6521,ESCUELA BASICA CAMARONES,CARAHUE,RURAL,MICROCENTRO,2,1,1,1,1,1
6522,ESCUELA BASICA PUYANGUE,CARAHUE,RURAL,MICROCENTRO,2,"0,95",0,,2,1
6523,ESCUELA BASICA CHOMIO,CARAHUE,RURAL,MICROCENTRO,3,"0,95",3,3,2,1
6524,ESCUELA CULLINCO,CARAHUE,RURAL,MICROCENTRO,2,"0,2895",0,,2,1
6525,ESC. BASICA CARLOS PALMA LAFUENTE,CARAHUE,RURAL,MICROCENTRO,0,0,0,0,0,0
6526,ESCUELA BASICA EL PERAL,CARAHUE,RURAL,MICROCENTRO,0,0,0,0,0,0
6527,ESCUELA BASICA ALTO YUPEHUE,CARAHUE,RURAL,MICROCENTRO,0,0,0,0,0,0
6528,ESCUELA BASICA BAJO YUPEHUE,CARAHUE,RURAL,MICROCENTRO,49,"0,9545",33,31,28,23
6529,ESCUELA BASICA MATTE Y SANCHEZ,CARAHUE,RURAL,MICROCENTRO,7,"0,95",2,2,,7
6530,ESC. BASICA PROF.GUILLERMO SALGADO CARRILLO,CARAHUE,RURAL,MICROCENTRO,0,0,0,0,0,0
6539,ESCUELA BASICA COI COI,CARAHUE,RURAL,MICROCENTRO,17,"0,5604",14,14,7,12
6540,ESCUELA BASICA COLICO,CARAHUE,RURAL,MICROCENTRO,0,0,0,0,0,0
6585,LICEO LUIS GONZALEZ VASQUEZ,NUEVA IMPERIAL,URBANO,MEJORA,857,"0,8566",470,469,485,420
6587,ESCUELA ALEJANDRO GOROSTIAGA,NUEVA IMPERIAL,URBANO,MEJORA,519,"0,8315",330,330,257,274
6588,ESCUELA REPUBLICA,NUEVA IMPERIAL,URBANO,MEJORA,238,"0,8743",120,119,137,129
6589,ESCUELA JUAN XXIII,NUEVA IMPERIAL,URBANO,MEJORA,273,"0,8494",0,0,0,0
6590,ESC. ESP.RET.MENTAL AVANCEMOS JUNTOS,NUEVA IMPERIAL,URBANO,MEJORA,60,"0,6919",42,42,19,43
6591,FEDERICO GARC-A LORCA,NUEVA IMPERIAL,URBANO,MEJORA,12,"0,4917",3,3,,14
6593,ESCUELA BASICA EL CRUCERO,NUEVA IMPERIAL,RURAL,MEJORA,106,"0,8176",77,76,59,48
6600,ESCUELA EL COPIHUAL,NUEVA IMPERIAL,RURAL,MICROCENTRO,8,"0,943",8,8,5,3
6602,ESCUELA BASICA CATRIANCHE,NUEVA IMPERIAL,RURAL,MICROCENTRO,18,"0,9702",14,14,10,7
6605,ESC.BASICA RAYEN MAHUIDA,NUEVA IMPERIAL,RURAL,MICROCENTRO,19,"0,9865",13,13,8,11
6608,ESC. BASICA LA ARAUCARIA,NUEVA IMPERIAL,RURAL,MICROCENTRO,25,"0,9599",15,15,15,10
6611,ESC. BASICA CHIVILCOYAN,NUEVA IMPERIAL,RURAL,MICROCENTRO,27,"0,9857",17,17,12,16
6623,ESCUELA ARENAS BLANCAS,NUEVA IMPERIAL,RURAL,MICROCENTRO,24,"0,9182",17,17,10,14
6625,ESC. BASICA LOS CANELOS,NUEVA IMPERIAL,RURAL,MICROCENTRO,2,"0,2105",2,2,2,
6628,ESC. BASICA LIFKO,NUEVA IMPERIAL,RURAL,MICROCENTRO,20,"0,9199",14,14,10,10
6633,ESC. BASICA SANTA MARIA DE BOROA,NUEVA IMPERIAL,RURAL,MICROCENTRO,37,1,23,23,15,22
6635,ESC. BASICA LOS ROBLES,NUEVA IMPERIAL,RURAL,MICROCENTRO,2,1,1,1,2,
6639,ESCUELA BASICA MANIO DUCANAN,NUEVA IMPERIAL,RURAL,MICROCENTRO,33,"0,9187",28,28,17,16
12366,ESCUELA ESPECIAL ARCO IRIS,CARAHUE,URBANO,MEJORA,71,"0,5974",32,32,26,47
20053,LICEO TECNICO PROFESIONAL HUALPIN,TEODORO SCHMIDT,RURAL,MEJORA,100,"0,8199",70,70,47,49
20248,LICEO MUNICIPAL TROVOLHUE,CARAHUE,URBANO,MEJORA,178,"0,877",31,31,77,105
