AGNO,RBD,NOM_RBD,COD_COM_RBD,NOM_COM_RBD,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,MAT_HOM_TOT,MAT_MUJ_TOT,MAT_SI_TOT,MAT_TOTAL,CUR_SIM_TOT,CUR_COMB
2016,6348,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,9118,TOLTEN,0,1,310,49,74,0,123,4,0
2016,6348,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,9118,TOLTEN,0,1,610,134,108,0,242,8,0
2017,6348,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,9118,TOLTEN,0,1,310,69,59,0,128,4,0
2017,6348,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,9118,TOLTEN,0,1,610,127,119,0,246,8,0
2018,6348,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,9118,TOLTEN,0,1,310,80,55,0,135,4,0
2018,6348,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,9118,TOLTEN,0,1,363,7,23,0,30,2,0
2018,6348,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,9118,TOLTEN,0,1,610,122,110,0,232,8,0
2019,6348,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,9118,TOLTEN,0,1,310,65,53,0,118,4,0
2019,6348,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,9118,TOLTEN,0,1,363,24,45,0,69,2,0
2019,6348,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,9118,TOLTEN,0,1,610,116,106,0,222,8,0
2020,6348,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,9118,TOLTEN,0,1,310,65,51,0,116,4,0
2020,6348,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,9118,TOLTEN,0,1,363,9,19,0,28,1,0
2020,6348,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,9118,TOLTEN,0,1,610,109,102,0,211,8,0
2021,6348,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,9118,TOLTEN,0,1,310,69,66,0,135,,
2021,6348,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,9118,TOLTEN,0,1,610,112,104,0,216,,
2022,6348,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,9118,TOLTEN,0,1,310,,,,138,,
2022,6348,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,9118,TOLTEN,0,1,610,,,,235,,
2016,6349,ESCUELA AGUAS Y GAVIOTAS,9118,TOLTEN,0,1,10,18,22,0,40,2,0
2016,6349,ESCUELA AGUAS Y GAVIOTAS,9118,TOLTEN,0,1,110,127,138,0,265,10,0
2017,6349,ESCUELA AGUAS Y GAVIOTAS,9118,TOLTEN,0,1,10,18,24,0,42,2,0
2017,6349,ESCUELA AGUAS Y GAVIOTAS,9118,TOLTEN,0,1,110,130,143,0,273,11,0
2018,6349,ESCUELA AGUAS Y GAVIOTAS,9118,TOLTEN,0,1,10,23,18,0,41,2,0
2018,6349,ESCUELA AGUAS Y GAVIOTAS,9118,TOLTEN,0,1,110,141,143,0,284,11,0
2019,6349,ESCUELA AGUAS Y GAVIOTAS,9118,TOLTEN,0,1,10,18,21,0,39,2,0
2019,6349,ESCUELA AGUAS Y GAVIOTAS,9118,TOLTEN,0,1,110,132,146,0,278,10,0
2020,6349,ESCUELA AGUAS Y GAVIOTAS,9118,TOLTEN,0,1,10,22,25,0,47,2,0
2020,6349,ESCUELA AGUAS Y GAVIOTAS,9118,TOLTEN,0,1,110,123,126,0,249,10,0
2021,6349,ESCUELA AGUAS Y GAVIOTAS,9118,TOLTEN,0,1,10,19,14,0,33,,
2021,6349,ESCUELA AGUAS Y GAVIOTAS,9118,TOLTEN,0,1,110,122,116,0,238,,
2022,6349,ESCUELA AGUAS Y GAVIOTAS,9118,TOLTEN,0,1,10,,,,32,,
2022,6349,ESCUELA AGUAS Y GAVIOTAS,9118,TOLTEN,0,1,110,,,,252,,
2016,6350,ESCUELA RAYEN LAFQUEN QUEULE,9118,TOLTEN,0,1,10,29,21,0,50,2,0
2016,6350,ESCUELA RAYEN LAFQUEN QUEULE,9118,TOLTEN,0,1,110,91,82,0,173,8,0
2017,6350,ESCUELA RAYEN LAFQUEN QUEULE,9118,TOLTEN,0,1,10,17,19,0,36,2,0
2017,6350,ESCUELA RAYEN LAFQUEN QUEULE,9118,TOLTEN,0,1,110,86,76,0,162,8,0
2018,6350,ESCUELA RAYEN LAFQUEN QUEULE,9118,TOLTEN,0,1,10,14,14,0,28,2,0
2018,6350,ESCUELA RAYEN LAFQUEN QUEULE,9118,TOLTEN,0,1,110,96,83,0,179,8,0
2019,6350,ESCUELA RAYEN LAFQUEN QUEULE,9118,TOLTEN,0,1,10,21,13,0,34,2,0
2019,6350,ESCUELA RAYEN LAFQUEN QUEULE,9118,TOLTEN,0,1,110,89,80,0,169,8,0
2020,6350,ESCUELA RAYEN LAFQUEN QUEULE,9118,TOLTEN,0,1,10,19,15,0,34,2,0
2020,6350,ESCUELA RAYEN LAFQUEN QUEULE,9118,TOLTEN,0,1,110,83,70,0,153,8,0
2021,6350,ESCUELA RAYEN LAFQUEN QUEULE,9118,TOLTEN,0,1,10,11,14,0,25,,
2021,6350,ESCUELA RAYEN LAFQUEN QUEULE,9118,TOLTEN,0,1,110,86,68,0,154,,
2022,6350,ESCUELA RAYEN LAFQUEN QUEULE,9118,TOLTEN,0,1,10,,,,20,,
2022,6350,ESCUELA RAYEN LAFQUEN QUEULE,9118,TOLTEN,0,1,110,,,,165,,
2016,6351,ESCUELA EL SEMBRADOR,9118,TOLTEN,1,1,10,16,19,0,35,2,0
2016,6351,ESCUELA EL SEMBRADOR,9118,TOLTEN,1,1,110,33,51,0,84,8,0
2017,6351,ESCUELA EL SEMBRADOR,9118,TOLTEN,1,1,10,16,12,0,28,2,0
2017,6351,ESCUELA EL SEMBRADOR,9118,TOLTEN,1,1,110,37,63,0,100,8,0
2018,6351,ESCUELA EL SEMBRADOR,9118,TOLTEN,1,1,10,11,12,0,23,2,0
2018,6351,ESCUELA EL SEMBRADOR,9118,TOLTEN,1,1,110,43,59,0,102,8,0
2019,6351,ESCUELA EL SEMBRADOR,9118,TOLTEN,1,1,10,11,13,0,24,2,0
2019,6351,ESCUELA EL SEMBRADOR,9118,TOLTEN,1,1,110,50,56,0,106,8,0
2020,6351,ESCUELA EL SEMBRADOR,9118,TOLTEN,1,1,10,13,14,0,27,2,0
2020,6351,ESCUELA EL SEMBRADOR,9118,TOLTEN,1,1,110,40,58,0,98,8,0
2021,6351,ESCUELA EL SEMBRADOR,9118,TOLTEN,1,1,10,18,17,0,35,,
2021,6351,ESCUELA EL SEMBRADOR,9118,TOLTEN,1,1,110,48,55,0,103,,
2022,6351,ESCUELA EL SEMBRADOR,9118,TOLTEN,1,1,10,,,,29,,
2022,6351,ESCUELA EL SEMBRADOR,9118,TOLTEN,1,1,110,,,,118,,
2016,6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,9118,TOLTEN,0,1,10,15,9,0,24,0,1
2016,6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,9118,TOLTEN,0,1,110,57,40,0,97,4,2
2017,6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,9118,TOLTEN,0,1,10,20,9,0,29,,1
2017,6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,9118,TOLTEN,0,1,110,54,37,0,91,8,0
2018,6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,9118,TOLTEN,0,1,10,24,9,0,33,,1
2018,6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,9118,TOLTEN,0,1,110,57,42,0,99,8,0
2019,6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,9118,TOLTEN,0,1,10,10,11,0,21,,1
2019,6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,9118,TOLTEN,0,1,110,60,44,0,104,8,0
2020,6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,9118,TOLTEN,0,1,10,5,11,0,16,,1
2020,6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,9118,TOLTEN,0,1,110,57,39,0,96,8,0
2021,6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,9118,TOLTEN,0,1,10,9,6,0,15,,
2021,6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,9118,TOLTEN,0,1,110,56,42,0,98,,
2022,6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,9118,TOLTEN,0,1,10,,,,15,,
2022,6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,9118,TOLTEN,0,1,110,,,,90,,
2016,6353,ESCUELA SAN PEDRO,9118,TOLTEN,1,1,110,3,7,0,10,1,1
2017,6353,ESCUELA SAN PEDRO,9118,TOLTEN,1,1,110,3,7,0,10,1,1
2018,6353,ESCUELA SAN PEDRO,9118,TOLTEN,1,1,110,2,5,0,7,,1
2019,6353,ESCUELA SAN PEDRO,9118,TOLTEN,1,1,110,2,4,0,6,2,1
2020,6353,ESCUELA SAN PEDRO,9118,TOLTEN,1,1,110,2,7,0,9,1,1
2021,6353,ESCUELA SAN PEDRO,9118,TOLTEN,1,1,110,2,7,0,9,,
2022,6353,ESCUELA SAN PEDRO,9118,TOLTEN,1,1,110,,,,8,,
2016,6354,ESCUELA LA CASCADA,9118,TOLTEN,1,1,110,1,1,0,2,1,1
2017,6354,ESCUELA LA CASCADA,9118,TOLTEN,1,1,110,1,2,0,3,,1
2018,6354,ESCUELA LA CASCADA,9118,TOLTEN,1,1,110,1,0,0,1,1,0
2019,6354,ESCUELA LA CASCADA,9118,TOLTEN,1,1,110,0,1,0,1,,1
2020,6354,ESCUELA LA CASCADA,9118,TOLTEN,1,1,110,0,2,0,2,,1
2021,6354,ESCUELA LA CASCADA,9118,TOLTEN,1,1,110,1,3,0,4,,
2022,6354,ESCUELA LA CASCADA,9118,TOLTEN,1,1,110,,,,1,,
2016,6356,ESCUELA FILULAFQUEN,9117,TEODORO SCHMIDT,1,1,110,3,2,0,5,0,1
2017,6356,ESCUELA FILULAFQUEN,9117,TEODORO SCHMIDT,1,2,0,,,,0,,
2018,6356,ESCUELA FILULAFQUEN,9117,TEODORO SCHMIDT,1,2,0,,,,0,,
2019,6356,ESCUELA FILULAFQUEN,9117,TEODORO SCHMIDT,1,2,0,,,,0,,
2020,6356,ESCUELA FILULAFQUEN,9117,TEODORO SCHMIDT,1,2,0,,,,0,,
2016,6357,ESCUELA SAN CARLOS,9118,TOLTEN,1,3,,0,0,0,0,0,0
2017,6357,ESCUELA SAN CARLOS,9118,TOLTEN,1,3,0,,,,0,,
2020,6357,ESCUELA SAN CARLOS,9118,TOLTEN,1,3,0,,,,0,,
2016,6358,ESCUELA BASICA ESTACION TOLTEN,9117,TEODORO SCHMIDT,1,1,110,4,7,0,11,1,1
2017,6358,ESCUELA BASICA ESTACION TOLTEN,9117,TEODORO SCHMIDT,1,1,110,4,3,0,7,1,1
2018,6358,ESCUELA BASICA ESTACION TOLTEN,9117,TEODORO SCHMIDT,1,1,110,5,4,0,9,,1
2019,6358,ESCUELA BASICA ESTACION TOLTEN,9117,TEODORO SCHMIDT,1,1,110,6,2,0,8,,1
2020,6358,ESCUELA BASICA ESTACION TOLTEN,9117,TEODORO SCHMIDT,1,1,110,7,2,0,9,,1
2021,6358,ESCUELA BASICA ESTACION TOLTEN,9117,TEODORO SCHMIDT,1,1,110,8,5,0,13,,
2022,6358,ESCUELA BASICA ESTACION TOLTEN,9117,TEODORO SCHMIDT,1,1,110,,,,10,,
2016,6359,ESCUELA RIO BUENO,9118,TOLTEN,1,3,,0,0,0,0,0,0
2017,6359,ESCUELA RIO BUENO,9118,TOLTEN,1,3,0,,,,0,,
2020,6359,ESCUELA RIO BUENO,9118,TOLTEN,1,3,0,,,,0,,
2016,6360,ESCUELA LAS DELICIAS,9118,TOLTEN,1,3,,0,0,0,0,0,0
2017,6360,ESCUELA LAS DELICIAS,9118,TOLTEN,1,3,0,,,,0,,
2020,6360,ESCUELA LAS DELICIAS,9118,TOLTEN,1,3,0,,,,0,,
2016,6361,ESCUELA DE CAYCHAYEN,9117,TEODORO SCHMIDT,1,1,110,1,3,0,4,0,1
2017,6361,ESCUELA DE CAYCHAYEN,9117,TEODORO SCHMIDT,1,1,110,2,0,0,2,,1
2018,6361,ESCUELA DE CAYCHAYEN,9117,TEODORO SCHMIDT,1,1,110,2,0,0,2,,1
2019,6361,ESCUELA DE CAYCHAYEN,9117,TEODORO SCHMIDT,1,1,110,2,0,0,2,,1
2020,6361,ESCUELA DE CAYCHAYEN,9117,TEODORO SCHMIDT,1,1,110,3,0,0,3,,1
2021,6361,ESCUELA DE CAYCHAYEN,9117,TEODORO SCHMIDT,1,1,110,2,0,0,2,,
2022,6361,ESCUELA DE CAYCHAYEN,9117,TEODORO SCHMIDT,1,1,110,,,,5,,
2016,6362,ESCUELA BASICA EUSEBIO LILLO,9118,TOLTEN,0,3,,0,0,0,0,0,0
2017,6362,ESCUELA BASICA EUSEBIO LILLO,9118,TOLTEN,0,3,0,,,,0,,
2020,6362,ESCUELA BASICA EUSEBIO LILLO,9118,TOLTEN,0,3,0,,,,0,,
2016,6363,ESCUELA PUCHILCO,9118,TOLTEN,1,1,110,1,3,0,4,2,1
2017,6363,ESCUELA PUCHILCO,9118,TOLTEN,1,1,110,2,3,0,5,3,0
2018,6363,ESCUELA PUCHILCO,9118,TOLTEN,1,1,110,0,2,0,2,2,0
2019,6363,ESCUELA PUCHILCO,9118,TOLTEN,1,1,110,0,3,0,3,,1
2020,6363,ESCUELA PUCHILCO,9118,TOLTEN,1,1,110,0,3,0,3,,1
