AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;COD_ENSE;COD_ENSE2;APR_HOM_TO;APR_MUJ_TO;REP_HOM_TO;REP_MUJ_TO;RET_HOM_TO;RET_MUJ_TO;TRA_HOM_TO;TRA_MUJ_TO;PROM_ASIS_APR_HOM;PROM_ASIS_APR_MUJ;PROM_ASIS_APR;PROM_ASIS_REP_HOM;PROM_ASIS_REP_MUJ;PROM_ASIS_REP;PROM_ASIS
2017;6497;1;COMPLEJO EDUCACIONAL CLAUDIO ARRAU LEON;9;9102;CARAHUE;2;1;0;110;2;17;21;5;0;3;0;4;3;96,29;93,90;94,97;75,00;;75,00;92,65
2017;6497;1;COMPLEJO EDUCACIONAL CLAUDIO ARRAU LEON;9;9102;CARAHUE;2;1;0;165;3;3;1;1;0;0;0;1;0;86,00;85,00;85,75;61,00;;61,00;80,80
2017;6497;1;COMPLEJO EDUCACIONAL CLAUDIO ARRAU LEON;9;9102;CARAHUE;2;1;0;310;5;319;317;17;15;1;4;29;33;95,21;95,18;95,19;82,12;74,80;78,69;94,40
2017;6497;1;COMPLEJO EDUCACIONAL CLAUDIO ARRAU LEON;9;9102;CARAHUE;2;1;0;363;6;24;26;2;5;18;17;3;2;97,04;97,15;97,10;78,50;91,60;87,86;95,96
2017;6497;1;COMPLEJO EDUCACIONAL CLAUDIO ARRAU LEON;9;9102;CARAHUE;2;1;0;510;7;91;27;3;1;2;0;14;9;94,32;95,00;94,47;53,33;24,00;46,00;92,89
2017;6497;1;COMPLEJO EDUCACIONAL CLAUDIO ARRAU LEON;9;9102;CARAHUE;2;1;0;610;7;0;56;0;0;0;2;0;5;;92,77;92,77;;;;92,77
2017;6497;1;COMPLEJO EDUCACIONAL CLAUDIO ARRAU LEON;9;9102;CARAHUE;2;1;0;710;7;16;2;0;0;0;0;0;0;89,75;90,00;89,78;;;;89,78
2018;6497;1;COMPLEJO EDUCACIONAL CLAUDIO ARRAU LEON;9;9102;CARAHUE;6;5;0;110;2;11;11;0;0;0;2;3;5;91,36;95,55;93,45;;;;93,45
2018;6497;1;COMPLEJO EDUCACIONAL CLAUDIO ARRAU LEON;9;9102;CARAHUE;6;5;0;165;3;0;0;1;0;3;1;0;0;;;;31,00;;31,00;31,00
2018;6497;1;COMPLEJO EDUCACIONAL CLAUDIO ARRAU LEON;9;9102;CARAHUE;6;5;0;310;5;248;257;10;10;9;8;44;32;93,28;92,72;92,99;80,30;71,40;75,85;92,34
