RBD,ESTAB,COMUNA,AREA,NIVEL,SECTOR,EJE,VALOR
6349,ESCUELA AGUAS Y GAVIOTAS,TOLTÉN,URBANO,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.79
6349,ESCUELA AGUAS Y GAVIOTAS,TOLTÉN,URBANO,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.78
6349,ESCUELA AGUAS Y GAVIOTAS,TOLTÉN,URBANO,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.69
6349,ESCUELA AGUAS Y GAVIOTAS,TOLTÉN,URBANO,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.69
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,URBANO,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.72
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,URBANO,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.61
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,URBANO,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.8
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,URBANO,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.69
6351,ESCUELA EL SEMBRADOR,TOLTÉN,RURAL,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.75
6351,ESCUELA EL SEMBRADOR,TOLTÉN,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.72
6351,ESCUELA EL SEMBRADOR,TOLTÉN,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.47
6351,ESCUELA EL SEMBRADOR,TOLTÉN,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.62
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,URBANO,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.53
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,URBANO,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.56
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,URBANO,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.5
