RBD,ESTABLECIMIENTO,COMUNA,SECTOR,NIVEL,PUNTAJE
6349,ESCUELA AGUAS Y GAVIOTAS,TOLTÉN,Lenguaje,1° Básico,560
6349,ESCUELA AGUAS Y GAVIOTAS,TOLTÉN,Lenguaje,2° Básico,598
6349,ESCUELA AGUAS Y GAVIOTAS,TOLTÉN,Lenguaje,3° Básico,576
6349,ESCUELA AGUAS Y GAVIOTAS,TOLTÉN,Lenguaje,4° Básico,591
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,Lenguaje,1° Básico,550
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,Lenguaje,2° Básico,537
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,Lenguaje,3° Básico,566
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,Lenguaje,4° Básico,592
6351,ESCUELA EL SEMBRADOR,TOLTÉN,Lenguaje,1° Básico,544
6351,ESCUELA EL SEMBRADOR,TOLTÉN,Lenguaje,2° Básico,560
6351,ESCUELA EL SEMBRADOR,TOLTÉN,Lenguaje,3° Básico,518
6351,ESCUELA EL SEMBRADOR,TOLTÉN,Lenguaje,4° Básico,556
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,Lenguaje,1° Básico,508
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,Lenguaje,2° Básico,534
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,Lenguaje,3° Básico,546
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,Lenguaje,4° Básico,572
6353,ESCUELA SAN PEDRO,TOLTÉN,Lenguaje,1° Básico,
6353,ESCUELA SAN PEDRO,TOLTÉN,Lenguaje,2° Básico,465
6353,ESCUELA SAN PEDRO,TOLTÉN,Lenguaje,3° Básico,583
6353,ESCUELA SAN PEDRO,TOLTÉN,Lenguaje,4° Básico,592
6354,ESCUELA LA CASCADA,TOLTÉN,Lenguaje,1° Básico,580
6354,ESCUELA LA CASCADA,TOLTÉN,Lenguaje,2° Básico,623
6354,ESCUELA LA CASCADA,TOLTÉN,Lenguaje,3° Básico,
6354,ESCUELA LA CASCADA,TOLTÉN,Lenguaje,4° Básico,627
6358,ESCUELA BASICA ESTACION TOLTEN,TEODORO SCHMIDT,Lenguaje,1° Básico,596
6358,ESCUELA BASICA ESTACION TOLTEN,TEODORO SCHMIDT,Lenguaje,2° Básico,578
6358,ESCUELA BASICA ESTACION TOLTEN,TEODORO SCHMIDT,Lenguaje,3° Básico,561
6358,ESCUELA BASICA ESTACION TOLTEN,TEODORO SCHMIDT,Lenguaje,4° Básico,521
6361,ESCUELA DE CAYCHAYEN,TEODORO SCHMIDT,Lenguaje,1° Básico,
6361,ESCUELA DE CAYCHAYEN,TEODORO SCHMIDT,Lenguaje,2° Básico,587
6361,ESCUELA DE CAYCHAYEN,TEODORO SCHMIDT,Lenguaje,3° Básico,
6361,ESCUELA DE CAYCHAYEN,TEODORO SCHMIDT,Lenguaje,4° Básico,
6370,ESCUELA LA CONCEPCION,TOLTÉN,Lenguaje,1° Básico,
6370,ESCUELA LA CONCEPCION,TOLTÉN,Lenguaje,2° Básico,587
6370,ESCUELA LA CONCEPCION,TOLTÉN,Lenguaje,3° Básico,
6370,ESCUELA LA CONCEPCION,TOLTÉN,Lenguaje,4° Básico,
6371,ESCUELA ANTU-LAFQUEN,TOLTÉN,Lenguaje,1° Básico,569
6371,ESCUELA ANTU-LAFQUEN,TOLTÉN,Lenguaje,2° Básico,509
6371,ESCUELA ANTU-LAFQUEN,TOLTÉN,Lenguaje,3° Básico,577
6371,ESCUELA ANTU-LAFQUEN,TOLTÉN,Lenguaje,4° Básico,570
6373,ESCUELA PORMA,TEODORO SCHMIDT,Lenguaje,1° Básico,565
