RBD,COMUNA,AREA,NIVEL,SECTOR,EJE,VALOR
6349,TOLTÉN,URBANO,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,79"
6350,TOLTÉN,URBANO,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,82"
6351,TOLTÉN,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,9"
6352,TOLTÉN,URBANO,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,83"
6353,TOLTÉN,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,57"
6354,TOLTÉN,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,71"
6358,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,
6361,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,1
6370,TOLTÉN,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,86"
6371,TOLTÉN,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,62"
6373,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,71"
6397,TEODORO SCHMIDT,URBANO,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,86"
6398,TEODORO SCHMIDT,URBANO,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,55"
6399,TEODORO SCHMIDT,URBANO,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,8"
6400,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,71"
6407,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,
6411,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,86"
6413,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,86"
6415,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,79"
6454,SAAVEDRA,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,1
6455,SAAVEDRA,RURAL,1° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,57"
