RBD,ESTABLECIMIENTO,COMUNA,AREA,PRUEBA,NIVEL,PUNTAJE
6349,ESCUELA AGUAS Y GAVIOTAS,TOLTÉN,URBANO,LENGUAJE,1B,589
6349,ESCUELA AGUAS Y GAVIOTAS,TOLTÉN,URBANO,LENGUAJE,3B,608
6349,ESCUELA AGUAS Y GAVIOTAS,TOLTÉN,URBANO,LENGUAJE,2B,618
6349,ESCUELA AGUAS Y GAVIOTAS,TOLTÉN,URBANO,MATEMÁTICAS,1B,578
6349,ESCUELA AGUAS Y GAVIOTAS,TOLTÉN,URBANO,MATEMÁTICAS,2B,607
6349,ESCUELA AGUAS Y GAVIOTAS,TOLTÉN,URBANO,MATEMÁTICAS,3B,617
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,URBANO,LENGUAJE,3B,586
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,URBANO,LENGUAJE,2B,589
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,URBANO,LENGUAJE,1B,593
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,URBANO,MATEMÁTICAS,1B,572
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,URBANO,MATEMÁTICAS,3B,590
6350,ESCUELA RAYEN LAFQUEN QUEULE,TOLTÉN,URBANO,MATEMÁTICAS,2B,603
6351,ESCUELA EL SEMBRADOR,TOLTÉN,RURAL,LENGUAJE,3B,582
6351,ESCUELA EL SEMBRADOR,TOLTÉN,RURAL,LENGUAJE,2B,597
6351,ESCUELA EL SEMBRADOR,TOLTÉN,RURAL,LENGUAJE,1B,599
6351,ESCUELA EL SEMBRADOR,TOLTÉN,RURAL,MATEMÁTICAS,2B,582
6351,ESCUELA EL SEMBRADOR,TOLTÉN,RURAL,MATEMÁTICAS,3B,583
6351,ESCUELA EL SEMBRADOR,TOLTÉN,RURAL,MATEMÁTICAS,1B,613
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,URBANO,LENGUAJE,2B,582
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,URBANO,LENGUAJE,3B,603
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,URBANO,LENGUAJE,1B,611
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,URBANO,MATEMÁTICAS,2B,567
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,URBANO,MATEMÁTICAS,1B,596
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,URBANO,MATEMÁTICAS,3B,650
6353,ESCUELA SAN PEDRO,TOLTÉN,RURAL,LENGUAJE,2B,566
6353,ESCUELA SAN PEDRO,TOLTÉN,RURAL,LENGUAJE,1B,592
6353,ESCUELA SAN PEDRO,TOLTÉN,RURAL,LENGUAJE,3B,595
6353,ESCUELA SAN PEDRO,TOLTÉN,RURAL,MATEMÁTICAS,1B,556
6353,ESCUELA SAN PEDRO,TOLTÉN,RURAL,MATEMÁTICAS,2B,583
6353,ESCUELA SAN PEDRO,TOLTÉN,RURAL,MATEMÁTICAS,3B,631
6354,ESCUELA LA CASCADA,TOLTÉN,RURAL,LENGUAJE,1B,608
6354,ESCUELA LA CASCADA,TOLTÉN,RURAL,LENGUAJE,3B,612
6354,ESCUELA LA CASCADA,TOLTÉN,RURAL,LENGUAJE,2B,0
6354,ESCUELA LA CASCADA,TOLTÉN,RURAL,MATEMÁTICAS,1B,638
6354,ESCUELA LA CASCADA,TOLTÉN,RURAL,MATEMÁTICAS,3B,651
6354,ESCUELA LA CASCADA,TOLTÉN,RURAL,MATEMÁTICAS,2B,0
